"data_center_id","data_center_location","geocode_country","geocode_state","region_network","product_id","product_line","product_name","product_server_type","count","watts"
"1-1XYVP","Osaka, Japan","JP","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"1-1XYVP","Osaka, Japan","JP","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-39HCV9","Osaka","JP","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-3DLO7X","Madrid, Spain (BT)","ES","N/A","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",42,9450
"1-6BTFJL","Dallas, TX","US","TX","Storage","A-1-7FTMP1","Akamai Servers","ZT Group 2x2-G3 Opteron Server","2x2 G3",42,8190
"1-6BTFJL","Dallas, TX","US","TX","Infra","B-3-367ERZ","Akamai Servers","Verari 1x2-G4 8G Opteron Server {Rev B}","1x2 G4",42,5460
"1-6HZ06","Highlands Ranch, CO","US","CO","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-8Y5XP","NIKHEF","NL","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"1-9T5V","Sunnyvale, CA","US","CA","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"1-DI5QV","Chicago, IL","US","IL","Storage","A-1-7FTMP1","Akamai Servers","ZT Group 2x2-G3 Opteron Server","2x2 G3",42,8190
"1-DI5QV","Chicago, IL","US","IL","FreeFlow","A-1-B63UQ7","Akamai Servers","Verari 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",42,9450
"1-DI5QV","Chicago, IL","US","IL","FreeFlow","B-3-19M014","Akamai Servers","ZT Group 2x8-G3 73GB Opteron Server","2x8 G3",42,11550
"1-M7ZYE","Odaiba data center","JP","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
"1-X9OP","Palermo, Italy","IT","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"179-25SJ","Frankfurt","DE","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",42,11550
"A-1-7U5Y49","Sunnyvale, CA","US","CA","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
"A-1-9SJIJJ","San Jose, CA","US","CA","Flash5 Windows","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",42,11550
"A-1-9SJIJJ","San Jose, CA","US","CA","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",42,11550
"1-1RZYA9","Los Angeles, CA/1 Wilshire","US","CA","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",41,9225
"1-3PGVRT","Ashburn, VA (Building G - DC3)","US","VA",,"1-3R6G1X","Akamai Switches","HP ProCurve Switch 3400cl-24G",,41,2870
"1-5PKZTB","Houston, TX","US","TX","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",41,11275
"1-5RUQN","San Jose, CA (SV1)","US","CA","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",41,11275
"1-6BTFJL","Dallas, TX","US","TX","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",41,9225
"A-1-7IUSZL","Santa Clara, CA","US","CA","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",41,9225
"A-1-ARYWL8","London, UK","GB","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",41,11275
"A-1-AY55QB","New York, New York","US","NY",,"A-1-AA82SX","Akamai Switches","HP ProCurve Switch 2900-48G",,41,6765
"B-3-17JT4I","Syracuse, NY","US","NY","FreeFlow","B-3-1CNU5K","Akamai Servers","ZT Group 2x8-G4 Opteron Server","2x8 G4",41,9225
"B-3-1DO7MJ","Seattle, WA","US","WA","FreeFlow","B-3-1CNU5K","Akamai Servers","ZT Group 2x8-G4 Opteron Server","2x8 G4",41,9225
"B-3-1UCGB1","London, UK","GB","N/A","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",41,9225
"1-1RZYA9","Los Angeles, CA/1 Wilshire","US","CA","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-1Z7FHL","Dallas, TX","US","TX","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-23Z7NK","Miami","US","FL","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-2LA8OU","Miami, FL","US","FL","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-2VPEMP","Paris, France - TSYS, Boulevard Voltaire","FR","N/A","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-34TQRK","Amsterdam","NL","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",40,11000
"1-34TQRK","Amsterdam","NL","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",40,11000
"1-3ANUGI","Frankfurt Gutleutstrasse","DE","N/A","ESSL","1-3DGQ7L","Akamai Servers","Verari 2x4-G1 Opteron Server","2x4 G1",40,11400
"1-3CURE5","Frankfurt Lyoner Strasse","DE","N/A","FreeFlow","B-3-2Q0DVB","Akamai Servers","Dell 2x8-G4 8G CacheH SAS Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-3DBM1P","Shinagawa, Tokyo","JP","N/A","FreeFlow","A-1-89MKJN","Akamai Servers","ZT Group 2x8-G3 CacheH Opteron Server","2x8 G3 CacheH",40,11000
"1-416AWX","Paris, France - PAR3","FR","N/A","Other","A-1-8PAMRC","Akamai Servers","ZT Group 2x2-G3 SATA Opteron Server","2x2 G3 SATA",40,7800
"1-416AWX","Paris, France - PAR3","FR","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",40,11000
"1-5HE1X2","Madrid, Spain","ES","N/A","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-5RUQN","San Jose, CA (SV1)","US","CA","FreeFlow","B-3-2Q0DVB","Akamai Servers","Dell 2x8-G4 8G CacheH SAS Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-6BTFJL","Dallas, TX","US","TX","Flash5 Windows","A-1-8NVY3H","Akamai Servers","Verari 2x8-G3 Opteron Server {Rev B}","2x8 G3",40,11000
"1-6BTFJL","Dallas, TX","US","TX","FreeFlow","A-1-A0QWUX","Akamai Servers","Verari 2x8-G4 Opteron Server","2x8 G4",40,9000
"1-6BTFJL","Dallas, TX","US","TX","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-7K0IS","Newark, NJ","US","NJ","ESSL","1-3DGQ7L","Akamai Servers","Verari 2x4-G1 Opteron Server","2x4 G1",40,11400
"1-9UV4","Copenhagen","DK","N/A","FreeFlow","B-3-2Q0PA7","Akamai Servers","Verari 1x8-G4 Opteron Server","1x8 G4",40,7600
"1-9UVB","Haninge, Sweden","SE","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",40,11000
"1-EB94W","Seattle, WA","US","WA","FreeFlow","1-4439E0","Akamai Servers","Verari 2x8-G1 Opteron Server","2x8 G1",40,14400
"1-EB94W","Seattle, WA","US","WA","FreeFlow","B-3-1U984E","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server {Rev B}","2x8 G4 CacheH",40,9000
"1-EO46E","Hamburg, Germany","DE","N/A","FreeFlow","B-3-2Q0PA7","Akamai Servers","Verari 1x8-G4 Opteron Server","1x8 G4",40,7600
"A-1-7IUSZL","Santa Clara, CA","US","CA","Flash5 Windows","1-4439E0","Akamai Servers","Verari 2x8-G1 Opteron Server","2x8 G1",40,14400
"A-1-7IUSZL","Santa Clara, CA","US","CA","FreeFlow","1-4439E0","Akamai Servers","Verari 2x8-G1 Opteron Server","2x8 G1",40,14400
"A-1-7IUSZL","Santa Clara, CA","US","CA","EUC","B-3-1JR0DO","Akamai Servers","ZT Group 1x2-G4 Opteron Server","1x2 G4",40,6400
"A-1-8GXNBD","OPAL-BHX Birmingham","GB","N/A","FreeFlow","A-1-7TROE1","Akamai Servers","ZT Group 2x8-G3 Opteron Server","2x8 G3",40,11000
"A-1-8U75Q5","Seattle - Westin","US","WA","Infra","A-1-8PAMRC","Akamai Servers","ZT Group 2x2-G3 SATA Opteron Server","2x2 G3 SATA",40,7800
"A-1-8U75Q5","Seattle - Westin","US","WA","Flash5 Windows","B-3-32680Y","Akamai Servers","ZT Group 2x8-G4 8GB SAS Opteron Server","2x8 G4 SAS",40,9000
"A-1-8U75Q5","Seattle - Westin","US","WA","FreeFlow","B-3-32680Y","Akamai Servers","ZT Group 2x8-G4 8GB SAS Opteron Server","2x8 G4 SAS",40,9000
"A-1-A5NJYP","Shinkawa, Tokyo (Verio), Japan","JP","N/A","FreeFlow","B-3-1CNU5A","Akamai Servers","ZT Group 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",40,9000
"A-1-AY55QB","New York, New York","US","NY","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",40,9000
"A-1-AY55QB","New York, New York","US","NY","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",40,9000
"A-1-BH8LN1","Atlanta, GA","US","GA","Flash5 Windows","B-4-145GP","Akamai Servers","Verari 2x8-G4 Opteron Server {Upgraded by ZT}","2x8 G4",40,9000
"B-3-17JT1H","Raleigh, NC","US","NC","FreeFlow","B-3-1471T6","Akamai Servers","Verari 2x8-G3 Opteron Server {BT Chassis}","2x8 G3",40,11000
"B-3-1KJLMO","Los Angeles, CA","US","CA",,"A-1-AA82SX","Akamai Switches","HP ProCurve Switch 2900-48G",,40,6600
"B-3-1UCGB1","London, UK","GB","N/A","FreeFlow","B-3-39FYKS","Akamai Servers","ZT Group 1x8-G4 Opteron Server {Fujitsu Drives}","1x8 G4",40,7600
"B-3-25BTYW","Amsterdam - Amstel Business Park","NL","N/A","FreeFlow","A-1-B63UQ7","Akamai Servers","Verari 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",40,9000
"B-3-2DZY2G","21C - Birmingham","GB","N/A","FreeFlow","A-1-A0QWUX","Akamai Servers","Verari 2x8-G4 Opteron Server","2x8 G4",40,9000
"B-3-2DZY3Z","21C - Baynard/Faraday","GB","N/A","FreeFlow","A-1-A0QWUX","Akamai Servers","Verari 2x8-G4 Opteron Server","2x8 G4",40,9000
"B-3-2DZY76","21C - Manchester","GB","N/A","FreeFlow","B-3-28P3RU","Akamai Servers","Verari 2x8-G4 8G Opteron Server","2x8 G4",40,9000
"B-3-2PVSYU","Duesseldorf","DE","N/A","FreeFlow","B-3-28P3RU","Akamai Servers","Verari 2x8-G4 8G Opteron Server","2x8 G4",40,9000
"B-3-2WEVEN","Vienna, VA","US","VA","FreeFlow","B-3-1CNU5K","Akamai Servers","ZT Group 2x8-G4 Opteron Server","2x8 G4",40,9000
"B-3-4LEEIT","Santa Clara, CA","US","CA","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",40,9000
"B-3-4LEEIT","Santa Clara, CA","US","CA","Storage","B-3-4U9GSW","Akamai Servers","ZT Group 2x10-G4 1TB SATA LCS 8G Opteron Server","2x10 G4 LCS",40,9000
"B-3-4LXE06","Paris, France - PAR2","FR","N/A","FreeFlow","B-3-39FYL1","Akamai Servers","ZT Group 2x8-G4 8GB SAS CacheH Opteron Server","2x8 G4 CacheH SAS",40,9000
"1-1RZYA9","Los Angeles, CA/1 Wilshire","US","CA","DDC","A-1-B63URY","Akamai Servers","Verari 2x8-G4 Fat Opteron Server","2x8 G4 Fat",39,8775
"1-1Z7FHL","Dallas, TX","US","TX","Flash5 Windows","B-3-1JT3K0","Akamai Servers","ZT Group 2x8-G4 Opteron Server {Rev B}","2x8 G4",39,8775
"1-3DBM1P","Shinagawa, Tokyo","JP","N/A","Storage","B-3-367ERZ","Akamai Servers","Verari 1x2-G4 8G Opteron Server {Rev B}","1x2 G4",39,5070
"1-3KXGM8","Atlanta, GA","US","GA","ESSL","1-3DGQ7L","Akamai Servers","Verari 2x4-G1 Opteron Server","2x4 G1",39,11115
"1-6BTFJL","Dallas, TX","US","TX","Other","1-AYFVD","Akamai Switches","HP ProCurve Switch 2524",,39,1365
"A-1-7F7NY5","Koutoh","JP","N/A","FreeFlow","1-6G35YH","Akamai Servers","Verari 2x8-G3 Opteron Server {Rev A}","2x8 G3",39,10725
"A-1-7IHYOR","New York, New York","US","NY","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",39,10725
"A-1-7IUSZL","Santa Clara, CA","US","CA","FreeFlow","B-3-4O0QQK","Akamai Servers","Verari 2x8-G4 8G CacheH SAS Opteron Server {Rev B}","2x8 G4 CacheH SAS",39,8775
"A-1-7U5Y49","Sunnyvale, CA","US","CA","FreeFlow","A-1-B63UQ7","Akamai Servers","Verari 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",39,8775
"B-3-1DO7MJ","Seattle, WA","US","WA","FreeFlow","A-1-B63UQ7","Akamai Servers","Verari 2x8-G4 CacheH Opteron Server","2x8 G4 CacheH",39,8775
"B-3-1KJLMO","Los Angeles, CA","US","CA","StreamOS","1-2X0B40","Akamai Servers","Verari 2x2-G1 Opteron Server","2x2 G1",39,8775
"B-3-1UCGB1","London, UK","GB","N/A","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",39,8775
"B-3-1UCGB1","London, UK","GB","N/A","FreeFlow","B-3-4D2E9V","Akamai Servers","ZT Group 1x8-G4 Opteron Server","1x8 G4",39,7410
"B-3-2IRBUO","Dallas, TX(2323)","US","TX","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",39,8775
"B-4-6676I","Vienna","AT","N/A","FreeFlow","B-3-4D2E9V","Akamai Servers","ZT Group 1x8-G4 Opteron Server","1x8 G4",39,7410
"1-1YY3UM","Chicago, IL","US","IL","FreeFlow","B-3-4D2E9V","Akamai Servers","ZT Group 1x8-G4 Opteron Server","1x8 G4",38,7220
"1-1YY3UM","Chicago, IL","US","IL","Flash5 Windows","B-4-K3NZH","Akamai Servers","ZT Group 1x8-G4 CacheH Opteron Server {Fuji}","1x8 G4 CacheH",38,7220
"1-3DBM1P","Shinagawa, Tokyo","JP","N/A","Storage","B-3-47J1YV","Akamai Servers","Verari 2x10-G4 1TB SATA LCS 8G Opteron Server","2x10 G4 LCS",38,8550
"1-3KXGLD","Ashburn, VA (Building F - DC2)","US","VA","Storage","A-1-8T0DAL","Akamai Servers","Verari 2x10-G3 SATA LCS Opteron Server","2x10 G3 LCS",38,8550
"1-3KXGM8","Atlanta, GA","US","GA","Storage","A-1-8T0DAL","Akamai Servers","Verari 2x10-G3 SATA LCS Opteron Server","2x10 G3 LCS",38,8550
"1-3KXGM8","Atlanta, GA","US","GA","Storage","B-2-C06CB","Akamai Servers","Verari 2x10-G4 SATA LCS 8G Opteron Server {Rev B}","2x10 G4 LCS",38,8550
"1-5GP32E","London North, TFM12","GB","N/A","Flash5 Windows","B-3-4D2E9V","Akamai Servers","ZT Group 1x8-G4 Opteron Server","1x8 G4",38,7220
"1-5PKZTB","Houston, TX","US","TX","FreeFlow","B-4-K3NZH","Akamai Servers","ZT Group 1x8-G4 CacheH Opteron Server {Fuji}","1x8 G4 CacheH",38,7220
"1-6BTFJL","Dallas, TX","US","TX","Other","A-1-8T0DAL","Akamai Servers","Verari 2x10-G3 SATA LCS Opteron Server","2x10 G3 LCS",38,8550
"1-6NIR04","Frankfurt","DE","N/A","FreeFlow","A-1-8NVY3H","Akamai Servers","Verari 2x8-G3 Opteron Server {Rev B}","2x8 G3",38,10450
"1-DI5QV","Chicago, IL","US","IL","Storage","A-1-8T0DAL","Akamai Servers","Verari 2x10-G3 SATA LCS Opteron Server","2x10 G3 LCS",38,8550
"1-DI5QV","Chicago, IL","US","IL","Flash5 Windows","B-4-K3NZH","Akamai Servers","ZT Group 1x8-G4 CacheH Opteron Server {Fuji}","1x8 G4 CacheH",38,7220
"1-DJSRG","London, UK","GB","N/A","FreeFlow","A-1-9NR61V","Akamai Servers","Verari 2x8-G3 CacheH Opteron Server {Rev B}","2x8 G3 CacheH",38,10450
"1-DJSRG","London, UK","GB","N/A",,"A-1-AA82SX","Akamai Switches","HP ProCurve Switch 2900-48G",,38,6270
"1-DJSRG","London, UK","GB","N/A","FreeFlow","B-3-28P3QZ","Akamai Servers","Verari 2x8-G4 8G CacheH Opteron Server","2x8 G4 CacheH",38,8550
