Name,wasteSteadyState
algFile,algorithm.js
name,path,type,isDataItemValue,isDrillDown
Source,source,TEXT,true,false
Waste Deposition Rate,wasteDepositionRate,DECIMAL,false,false
Collection Efficiency,collectionEfficiency,DECIMAL,false,false
Fraction collected burned,fractionCollectedBurned,DECIMAL,false,false
Fraction uncollected oxidising,fractionUncollectedOxidising,DECIMAL,false,false
Time since closed,timeSinceClosed,DECIMAL,false,false
Time since opened,timeSinceOpened,DECIMAL,false,false
Decay rate,decayRate,DECIMAL,false,false
Ultimate methane potential,ultimateMethanePotential,DECIMAL,false,false